source,num,title
"Journal of the Chinese Ceramic Society,硅酸盐学报",,"Synthesis of B Doped Li_(1+2x)Mn_(0.8)Fe_(0.2)P_(1-x)B_xO_4 as Cathode Material for Lithium Ion Battery,B掺杂制备Li_(1+2x)Mn_(0.8)Fe_(0.2)P_(1-x)B_xO_4锂,正极材料"
"Chinese Journal of Environmental Engineering,环境工程学报",,"Microbial fuel cell for electricity generation during high-salinity mustard tuber wastewater treatment,微生物燃料,在高盐榨菜废水处理中的产电性能"
SCIENCE CHINA-MATERIALS,"10.1007/s40843-016-5092-x,OCT 2016",Effect of the self-assembled gel network formed from a low molecular mass organogelator on the electron kinetics in quasi-solid-state dye-sensitized solar cells
"Electronic Components & Materials,电子元件与材料",,"Progress on magnetron sputtering and composition regulation of CIGS thin films,铜铟镓硒(CIGS)光伏薄膜的磁控溅射及组成调控研究进展"
ACTA CHIMICA SINICA,"10.6023/A16080394,OCT 15 2016",Influence of Electrochemical Performance of Lithium Ion Batteries with the Adding of LiF and LiCl
CHINESE JOURNAL OF INORGANIC CHEMISTRY,"10.11862/CJIC.2016.207,OCT 10 2016",Synthesis and High Temperature Electrochemical Properties of Co-doped Sr1.5La0.5MnO4
CHINESE JOURNAL OF INORGANIC CHEMISTRY,"10.11862/CJIC.2016.235,OCT 10 2016",Design of Photoanodes with TiO2 Bulb Scattering Center and Their Application in Dye Sensitized Solar Cells
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,"10.7503/cjcu20160352,OCT 10 2016",Preparation of Reduced-graphene-oxide/Au Composite Microelectrode Array and Its Optical and Electrical Characteristics
"Electronic Components & Materials,电子元件与材料",,"Influences of properties of volume defects on dark I-V characteristics of crystalline silicon solar cell,体缺陷性质对晶硅电池暗I-V特性的影响"
"Electronic Components & Materials,电子元件与材料",,"Research status on fabrication technologies of polymer solar cells,聚合物太阳能电池制备技术的研究进展"
ACTA POLYMERICA SINICA,"10.11777/j.issn1000-3304.2016.16216,NOV 20 2016",Design and Application of Highly Efficient Polymers for Polymer Solar Cells
CHINESE JOURNAL OF INORGANIC CHEMISTRY,"10.11862/CJIC.2016.247,NOV 10 2016",Electrochemical Properties of Fe(III)-Doped Nb2O5 Micro/nano Spheres via Hydrothermal Synthesis
ACTA PHYSICO-CHIMICA SINICA,"10.3866/PKU.WHXB201607272,NOV 15 2016",Organic-Inorganic Hybrid Perovskite Solar Cells Processed with Br or CI Doping via a Two-Step Deposition
JOURNAL OF INORGANIC MATERIALS,"10.15541/jim20160042,DEC 2016",CTAB-assisted Synthesis of MoS2/C Nano-flowers with Improved Electrochemical Performances for Lithium Ion Batteries
JOURNAL OF INORGANIC MATERIALS,"10.15541/jim20160159,DEC 2016",Fabrication and Performance of PET-ceramic Separators
